siteID,JA19,AP19,JU19,OC19,JA20,AP20,JU20,OC20,JA21,AP21,JU21,OC21,JA22,AP22,JU22,OC22
BOMA_ALN,1,1,1,1,1,1,1,1,38,29,47,37,31,1,1,1
BOMA_ARB1,1,1,1,1,1,1,1,1,38,32,40,34,20,1,1,1
BOMA_ARB2,1,1,1,1,1,1,1,1,38,32,40,34,29,1,1,1
BOMA_BDL,1,1,1,1,1,1,1,1,41,38,58,40,45,1,40,45
BOMA_BNC,1,1,1,1,1,1,1,1,39,23,58,40,21,16,17,39
BOMA_BRA,1,1,1,1,1,1,1,1,25,48,52,37,34,28,40,45
BOMA_BRD1,1,1,1,1,1,1,1,1,12,38,58,37,46,1,39,44
BOMA_BRD2,1,1,1,1,1,1,1,1,41,40,59,37,46,1,40,45
BOMA_BRT,1,1,1,1,1,1,1,1,28,34,46,38,44,1,1,22
BOMA_BSU,1,1,1,1,1,1,1,1,40,48,32,37,45,1,41,45
BOMA_DAN,1,1,1,1,1,1,1,1,38,27,58,40,17,1,40,2
BOMA_EVR,1,1,1,1,1,1,1,1,40,40,59,40,45,21,38,45
BOMA_FRPO1,1,1,1,1,1,1,1,1,40,1,47,28,43,1,1,39
BOMA_FRPO2,1,1,1,1,1,1,1,1,48,1,35,38,10,1,1,36
BOMA_FVW,1,1,1,1,1,1,1,1,26,40,59,40,45,1,10,45
BOMA_GLD,1,1,1,1,1,1,1,1,40,40,58,40,45,6,1,45
BOMA_GRT,1,1,1,1,1,1,1,1,41,35,52,37,45,5,1,42
BOMA_HAB,1,1,1,1,1,2,1,1,42,28,46,40,45,1,1,45
BOMA_HAL,1,1,1,1,1,1,1,1,40,23,58,40,45,1,1,45
BOMA_MTA,1,1,1,1,1,1,1,1,38,34,47,38,44,1,38,23
BOMA_MUS,1,1,1,1,1,1,1,1,24,47,59,40,34,3,1,11
BOMA_PKN,1,1,1,1,1,1,1,1,42,40,58,40,45,1,1,39
BOMA_SRN,1,1,1,1,1,1,1,1,18,40,50,40,17,1,5,44
BOMA_STN,1,1,1,1,1,1,1,1,41,38,52,37,45,16,1,44
BOMA_STR,1,1,1,1,1,1,1,1,19,38,52,37,31,8,9,45
BOMA_TKR,1,1,1,1,1,1,1,1,41,45,52,37,45,1,1,8
BOMA_ZNE,1,1,1,1,1,1,1,1,46,1,40,48,11,1,1,1
CHIL_C04-MBP1,1,46,34,29,25,34,32,34,1,1,1,32,1,1,1,1
CHIL_C05-BEA1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_C05-BMP1,1,46,36,23,14,35,32,36,1,1,1,28,1,1,1,1
CHIL_C05-BMP2,1,46,36,1,14,35,32,36,1,1,1,23,1,1,1,1
CHIL_C05-EGG1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_C05-SPA1,1,1,1,1,1,34,32,36,1,1,1,32,1,1,1,1
CHIL_C06-BEA2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_C06-HMP1,1,41,36,13,14,35,32,32,1,1,1,1,1,1,1,1
CHIL_D02-BMT1,5,8,33,31,16,1,24,1,1,14,1,41,1,1,1,1
CHIL_D02-HUP0,20,15,30,1,31,1,60,27,1,33,1,29,1,1,1,1
CHIL_D02-JBS1,11,1,43,32,17,1,1,1,1,1,1,1,1,1,1,1
CHIL_D02-MDU1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_D02-MOP1,22,15,30,29,31,1,37,26,1,33,1,1,1,1,1,1
CHIL_D02-RCP1,30,30,30,31,31,1,60,8,1,20,1,27,1,1,1,1
CHIL_D02-SCP1,19,30,16,1,31,1,34,26,1,1,1,33,1,1,1,1
CHIL_D03-AFP1,24,30,30,31,31,1,16,26,1,33,1,1,1,1,1,1
CHIL_D03-AMP1,30,30,16,31,31,1,1,1,1,1,1,1,1,1,1,1
CHIL_D03-CHP1,30,30,1,17,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_D03-GOM1,30,29,30,32,20,1,48,18,1,15,1,1,1,1,1,1
CHIL_D03-HOR1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_D03-NPV1,22,30,28,33,19,1,60,1,1,15,45,33,1,1,1,1
CHIL_D03-STB1,23,30,19,35,16,1,60,19,1,34,1,32,1,37,1,1
CHIL_D04-DNP1,30,15,30,31,31,1,41,18,1,34,1,1,1,1,1,1
CHIL_D04-EDW0,23,30,30,1,31,1,54,18,1,31,1,33,1,1,1,1
CHIL_D04-FGP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_D04-RDP1,20,30,30,32,16,1,16,1,1,15,1,24,1,1,1,1
CHIL_D04-ROS0,30,27,16,31,31,1,60,1,1,34,1,1,1,1,1,1
CHIL_D05-ADC2,1,1,1,1,1,1,59,1,1,1,1,16,1,1,1,1
CHIL_D05-BRP1,30,36,30,26,1,1,55,18,1,34,1,32,1,1,1,1
CHIL_D05-MIA1,31,36,30,30,1,1,34,32,1,34,1,33,1,1,1,1
CHIL_D05-PRC1,30,36,37,30,30,1,50,16,1,34,1,33,1,1,1,1
CHIL_D06-KCG1,30,36,30,30,30,1,16,16,1,43,1,1,1,1,1,1
CHIL_D07-ASC0,1,34,30,30,30,1,46,1,1,1,1,33,1,1,1,1
CHIL_D07-NOC1,1,36,16,30,30,1,42,33,1,34,1,28,1,1,1,1
CHIL_D08-CCC1,30,36,30,30,30,1,46,33,1,1,1,30,1,1,1,1
CHIL_D08-DAW0,27,35,16,30,25,1,45,33,1,1,1,30,1,1,1,1
CHIL_D08-DAW2,30,36,30,6,30,1,21,33,1,15,1,30,1,1,1,1
CHIL_D09-CLG0,30,36,30,30,1,1,58,16,1,1,1,1,1,1,1,1
CHIL_D09-RYW1,30,36,30,30,30,1,59,33,1,1,35,29,1,1,1,1
CHIL_D09-VTC1,30,36,16,30,30,1,60,33,1,34,1,25,1,1,1,1
CHIL_D10-CAN0,16,36,16,30,30,1,60,19,1,34,36,30,1,1,1,1
CHIL_D10-MAC1,20,36,16,30,30,1,46,19,1,34,1,30,1,1,1,1
CHIL_D10-VHC1,30,36,30,30,19,1,22,33,1,34,1,16,1,1,1,1
CHIL_J01-BBS1,23,29,26,29,16,1,60,1,1,31,1,1,1,1,1,1
CHIL_J01-CLP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_J01-LMP1,30,29,1,16,1,1,58,32,1,32,1,12,1,1,1,1
CHIL_J01-NOR1,30,11,22,1,30,1,1,16,1,32,1,1,1,1,1,1
CHIL_J01-SEP1,19,30,30,31,31,1,60,27,1,33,1,30,1,1,1,1
CHIL_J01-SKP1,30,27,29,29,21,1,45,18,1,18,1,1,1,1,1,1
CHIL_J01-UIC1,31,30,29,31,24,1,37,30,1,26,1,16,1,1,1,1
CHIL_R02-DPG1,31,30,29,31,31,1,58,30,1,30,1,16,1,1,1,1
CHIL_R02-FRP1,31,30,29,31,16,1,59,1,1,31,1,15,1,1,1,1
CHIL_R02-HRF1,1,1,1,1,1,1,30,30,1,31,1,16,1,1,1,1
CHIL_R03-AUP1,31,30,29,31,31,1,60,23,1,31,1,16,1,1,1,1
CHIL_R03-CPG1,17,30,29,31,16,1,60,30,1,1,1,16,1,1,1,1
CHIL_R03-EUC1,31,30,29,15,31,1,29,30,1,31,1,16,1,1,1,1
CHIL_R03-MAP1,38,30,29,31,16,1,48,1,1,31,1,16,1,1,1,1
CHIL_R04-MMW0,31,30,29,31,31,1,60,30,1,31,17,17,1,1,1,1
CHIL_R04-MMW3,31,30,29,31,31,1,59,30,1,32,17,17,1,1,1,1
CHIL_R04-SCH1,38,30,29,31,1,1,52,27,1,31,1,15,1,1,1,1
CHIL_R05-FMG1,22,16,29,18,31,1,60,1,1,31,1,29,1,1,1,1
CHIL_R05-GOC1,19,30,29,1,31,1,58,30,1,31,1,31,1,1,1,1
CHIL_R05-MTC1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_R05-STP1,23,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_R06-OTB1,17,30,29,31,1,1,59,30,1,31,1,30,1,1,1,1
CHIL_R06-SLT2,31,30,29,31,31,1,60,30,1,31,1,15,1,1,1,1
CHIL_R06-YOW1,18,30,29,31,16,1,60,30,1,31,1,16,1,1,1,1
CHIL_R07-FSP1,37,3,30,30,30,1,23,24,1,36,1,37,1,1,1,1
CHIL_R07-GOF1,38,37,30,30,1,1,60,19,1,50,1,37,1,1,1,1
CHIL_R07-MMP1,31,28,16,31,31,1,54,30,1,31,1,31,1,1,1,1
CHIL_R07-YHR1,17,22,15,31,31,1,32,30,1,1,1,30,1,1,1,1
CHIL_R08-DAP1,18,37,30,30,1,1,60,1,1,18,1,35,1,1,1,1
CHIL_R08-PAP1,20,37,30,30,30,1,34,37,1,31,1,37,1,1,1,1
CHIL_R08-VLG1,36,37,1,30,30,1,60,37,1,50,1,1,1,1,1,1
CHIL_R08-WBK1,37,37,30,30,1,1,37,1,1,36,1,37,1,1,1,1
CHIL_R09-BLW1,37,37,30,30,30,1,47,37,1,50,1,37,1,1,1,1
CHIL_R09-CTG0,37,35,27,30,17,1,60,15,1,50,1,8,1,1,1,1
CHIL_R09-LIM0,37,37,30,30,30,1,56,1,19,17,34,37,1,1,1,1
CHIL_R09-SMI1,37,37,30,30,30,1,47,37,1,50,1,37,1,1,1,1
CHIL_R10-FRM1,37,37,30,30,30,1,60,20,1,49,1,35,1,1,1,1
CHIL_R10-FRM2,37,37,30,30,15,1,60,12,1,49,1,33,1,1,1,1
CHIL_R10-WCP0,1,37,30,30,1,1,35,1,1,31,1,37,1,1,1,1
CHIL_R10-WDW0,37,37,30,30,30,1,57,1,22,49,49,19,1,1,1,1
CHIL_S02-BNS1,21,29,29,29,30,1,49,16,1,18,32,1,1,1,1,1
CHIL_S02-BRI1,30,29,29,29,30,1,33,32,1,9,1,1,1,1,1,1
CHIL_S02-COP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_S02-MCP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHIL_S02-PIP1,30,29,29,16,30,1,45,23,1,32,1,1,1,1,1,1
CHIL_S02-PLP1,30,29,18,29,30,1,1,32,1,32,16,16,1,1,1,1
CHIL_S02-TNW1,30,5,20,29,16,1,50,20,1,18,1,1,1,1,1,1
CHIL_S03-JKP2,25,26,29,16,17,1,57,32,1,18,18,23,22,32,24,11
CHIL_S03-LCP1,3,29,29,29,1,1,57,32,1,32,1,1,1,1,1,1
CHIL_S03-PSP1,30,29,16,15,30,1,31,32,1,32,1,1,1,1,1,1
CHIL_S03-VIP1,30,1,16,18,30,1,58,5,1,18,1,1,1,1,1,1
CHIL_S03-WAP1,30,11,29,29,30,1,58,32,1,16,1,1,1,1,1,1
CHIL_S04-HAP1,29,29,29,29,28,1,39,32,1,32,1,1,1,1,1,1
CHIL_S04-OTW1,23,29,29,29,25,1,58,16,1,32,30,28,1,1,1,1
CHIL_S04-SSP1,17,29,29,29,16,1,37,20,1,9,1,1,1,1,1,1
CHIL_S05-LNC1,30,30,31,32,33,1,1,30,1,7,1,21,1,1,1,1
CHIL_S05-RES1,29,30,27,32,33,1,45,3,1,30,1,1,1,1,1,16
CHIL_S05-SFP0,30,29,31,31,33,1,60,6,1,1,1,35,1,1,1,1
CHIL_S06-CBW0,1,31,1,32,33,1,59,30,1,30,30,34,1,1,1,16
CHIL_S07-ARG1,30,31,32,32,33,1,38,1,1,1,1,1,1,1,1,1
CHIL_S07-ARG2,30,31,32,32,33,1,44,1,1,1,1,1,1,1,1,1
CHIL_S07-STJ1,30,31,16,32,32,1,60,30,1,1,1,25,1,19,1,16
CHIL_S08-WGL1,30,16,18,32,33,1,1,1,1,1,1,1,1,1,1,1
CHIL_S08-WGL3,1,1,1,1,1,1,54,30,1,30,14,21,1,1,1,16
CHIL_S09-KTP1,22,31,32,32,33,1,52,30,1,30,1,35,1,1,1,6
CHIL_S09-SMC1,30,31,32,32,33,1,55,30,1,30,1,17,1,1,1,16
CHIL_S09-VTW0,30,31,32,32,1,1,60,30,1,30,1,35,1,1,1,16
CHIL_S10-ILC1,30,31,32,32,33,1,45,30,1,30,1,35,1,1,1,16
CHIL_S10-LEW1,25,29,32,1,31,1,60,30,1,30,1,21,1,1,1,16
CHIL_S10-LPC1,30,31,32,32,33,1,45,30,1,30,1,20,1,1,1,16
CHIL_S10-LPP0,30,31,32,32,33,1,37,29,1,30,1,34,1,1,1,1
DEIO_DEIO01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,24
DEIO_DEIO02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,24
DEIO_DEIO03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,32
DEIO_DEIO04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,33
DEIO_DEIO05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,33
DEIO_DEIO06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,33
DEIO_DEIO07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,1
DEIO_DEIO08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31
DEIO_DEIO09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,11
DEIO_DEIO10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1
DEIO_DEIO11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40
DEIO_DEIO12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,40
DEIO_DEIO13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,40
DEIO_DEIO14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,1
DEIO_DEIO15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,40
DEIO_DEIO16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,35
DEIO_DEIO17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,34
DEIO_DEIO18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35
DEIO_DEIO19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,32
DEIO_DEIO20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,35
DEIO_DEIO21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,35
DEIO_DEIO22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,35
DEIO_DEIO23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,35
DEIO_DEIO24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,35
DEIO_DEIO25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
ININ_M01-PRG1,38,36,19,49,35,34,37,38,48,21,1,43,1,1,1,1
ININ_M01-SAP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_M02-BCF1,31,36,19,50,35,31,37,37,49,39,38,43,1,1,38,1
ININ_M02-OBP1,38,36,19,50,37,34,37,37,47,1,44,44,1,1,38,2
ININ_M02-SBP2,37,25,1,50,37,17,37,34,48,39,45,44,1,35,38,1
ININ_M03-FCP1,38,36,20,50,36,17,36,35,50,43,42,1,1,1,38,1
ININ_M03-GWP1,41,36,20,50,36,1,1,1,1,1,1,1,1,1,1,1
ININ_M03-ISD1,38,36,20,50,36,35,35,2,17,22,43,38,1,1,38,36
ININ_M04-BAS1,38,36,21,50,37,35,38,21,17,22,46,38,1,1,38,1
ININ_M04-FRP1,38,36,20,45,37,23,37,37,50,45,35,38,1,36,38,35
ININ_M04-MAP1,25,36,22,46,37,35,1,1,47,1,1,1,1,1,1,1
ININ_M05-ISB2,38,48,42,40,37,1,39,44,41,1,1,1,44,1,37,38
ININ_M05-SDC1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_M05-SGC1,1,48,42,40,1,1,39,44,1,1,38,1,1,1,37,1
ININ_M06-MCP1,38,48,29,40,37,1,39,44,41,1,39,42,44,1,37,38
ININ_M06-PGC1,38,27,42,40,37,1,39,13,41,1,38,21,44,19,37,38
ININ_M07-CAC1,38,48,41,31,2,1,38,42,1,1,36,24,1,1,37,1
ININ_M07-CCT1,38,48,42,40,37,1,39,44,19,1,38,42,1,1,33,1
ININ_M07-WFD1,38,48,42,24,37,1,39,1,41,2,39,42,16,1,37,1
ININ_M08-FTP1,38,48,42,40,37,1,39,1,19,2,38,42,1,1,37,1
ININ_M08-MMT2,29,48,42,40,37,1,24,44,41,46,38,42,36,1,37,1
ININ_M08-WGP1,38,48,42,40,37,1,39,44,41,4,47,42,27,1,37,1
ININ_R01-IUI1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_R02-PRU1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_R03-4651,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_R04-SWW1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_R05-WAV1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_R06-MMP-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_W01-GFP3,1,36,19,49,38,34,37,23,33,9,1,1,1,1,1,1
ININ_W01-HCC1,38,36,19,21,19,1,1,1,1,1,1,1,1,1,1,1
ININ_W01-WRG1,38,36,19,21,1,1,1,1,1,1,1,1,1,1,1,1
ININ_W02-EMP1,38,23,15,50,36,34,37,38,16,21,38,26,1,1,38,1
ININ_W02-IZO3,13,36,19,49,1,34,37,1,1,39,37,43,1,1,38,1
ININ_W03-CHC1,40,36,20,21,16,42,37,39,34,22,39,1,1,1,38,1
ININ_W03-MEL1,40,31,20,48,1,41,20,37,27,1,39,1,1,1,38,1
ININ_W03-RGC1,41,31,3,50,1,41,37,37,49,43,39,12,1,1,38,1
ININ_W04-BHC2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_W04-JSP1,24,36,20,46,40,41,38,35,17,29,36,38,1,1,38,35
ININ_W04-ROW1,38,36,21,46,40,17,38,1,17,22,44,38,1,1,38,35
ININ_W04-WPC1,39,36,21,46,40,35,20,35,50,1,37,38,1,1,38,35
ININ_W05-CPE1,45,42,44,46,51,42,53,48,37,59,49,38,1,40,39,40
ININ_W05-EES,45,42,44,46,1,43,54,48,45,9,45,46,1,40,40,40
ININ_W06-CNP1,45,42,44,46,1,43,54,48,45,11,46,37,1,1,40,39
ININ_W06-LRF1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_W06-UHS1,45,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ININ_W07-INA1,45,42,44,46,1,43,53,57,1,1,43,37,1,7,40,1
ININ_W07-UES2,43,42,44,46,59,51,54,48,1,1,45,37,1,40,37,40
ININ_W07-WAF1,45,42,44,46,51,43,54,48,45,11,44,36,1,40,1,1
ININ_W08-NST3,44,42,44,46,51,39,54,45,38,55,50,37,1,41,1,1
ININ_W08-ROS1,45,42,44,46,51,1,1,1,1,1,1,1,1,1,1,1
IOIO_A01-RES1,35,36,1,29,30,46,60,60,57,59,1,38,37,37,47,37
IOIO_A01-WMA1,36,36,1,29,30,46,58,59,53,19,39,36,41,49,38,31
IOIO_A01-WMA2,34,1,1,25,30,46,55,60,46,58,34,28,39,27,38,25
IOIO_A01-WMA3,1,36,1,29,30,1,49,32,56,59,38,39,41,9,39,25
IOIO_A02-FUH1,36,36,1,29,30,46,60,60,57,59,27,43,42,1,1,1
IOIO_A02-GLP1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,42,45
IOIO_A02-MET1,35,36,1,29,30,46,13,1,1,1,1,1,1,1,1,1
